split,budget,method,seed,coverage,accepted_success,accepted_collision_rate,accepted_probe_damage,accepted_regret,accepted_utility
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,risk_aware_action_critical_depth_probe_v5,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,active_view_selection,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,next_best_view_planner,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,visuotactile_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,uncertainty_guided_probe,0,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,robust_clearance_mpc,0,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.1,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.15,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.0,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.05,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.1,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,risk_aware_action_critical_depth_probe_v5,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,active_view_selection,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,next_best_view_planner,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,visuotactile_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,uncertainty_guided_probe,1,0.0,0.0,0.0,0.0,0.0,0.0
combined_interactive_stress,0.15,robust_clearance_mpc,1,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,risk_aware_action_critical_depth_probe_v5,2,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,active_view_selection,2,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,next_best_view_planner,2,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,visuotactile_probe,2,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,uncertainty_guided_probe,2,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.0,robust_clearance_mpc,2,0.0,0.0,0.0,0.0,0.0,0.0
low_signal_depth_stress,0.05,risk_aware_action_critical_depth_probe_v5,2,0.0,0.0,0.0,0.0,0.0,0.0
