stress_level,method,groups,mean_task_success,ci95_task_success,mean_action_critical_rmse,ci95_action_critical_rmse,mean_collision_rate,ci95_collision_rate,mean_probe_damage,ci95_probe_damage
0.0,active_view_selection,28,0.99919,0.00159,0.03916,0.00335,0.00000,0.00000,0.00000,0.00000
0.0,ensemble_depth_completion,28,0.99838,0.00221,0.04374,0.00238,0.00000,0.00000,0.00000,0.00000
0.0,learned_depth_completion,28,0.97484,0.01283,0.05180,0.00317,0.00649,0.00505,0.00000,0.00000
0.0,oracle_depth_completion,28,1.00000,0.00000,0.00521,0.00011,0.00000,0.00000,0.00000,0.00000
0.0,proposed_action_critical_interactive_depth,28,0.91477,0.02181,0.03848,0.00238,0.01299,0.00775,0.08847,0.02117
0.0,uncertainty_guided_probe,28,0.87338,0.03463,0.03948,0.00239,0.01461,0.00732,0.13149,0.03323
0.0,visuotactile_probe,28,0.91964,0.02093,0.04211,0.00224,0.01218,0.00627,0.08523,0.02070
0.2,active_view_selection,28,0.99513,0.00420,0.04050,0.00347,0.00081,0.00159,0.00000,0.00000
0.2,ensemble_depth_completion,28,0.97808,0.00930,0.04822,0.00243,0.00487,0.00352,0.00000,0.00000
0.2,learned_depth_completion,28,0.90503,0.03414,0.05624,0.00294,0.02273,0.01025,0.00000,0.00000
0.2,oracle_depth_completion,28,1.00000,0.00000,0.00540,0.00010,0.00000,0.00000,0.00000,0.00000
0.2,proposed_action_critical_interactive_depth,28,0.89854,0.02441,0.04158,0.00225,0.01380,0.00700,0.10146,0.02353
0.2,uncertainty_guided_probe,28,0.83847,0.03545,0.04291,0.00242,0.02435,0.01121,0.15990,0.03363
0.2,visuotactile_probe,28,0.89205,0.02639,0.04641,0.00225,0.01948,0.00817,0.10471,0.02492
0.4,active_view_selection,28,0.97159,0.01724,0.04191,0.00369,0.00244,0.00350,0.00000,0.00000
0.4,ensemble_depth_completion,28,0.94237,0.02419,0.05078,0.00255,0.00731,0.00564,0.00000,0.00000
0.4,learned_depth_completion,28,0.75487,0.07022,0.06140,0.00278,0.06656,0.02136,0.00000,0.00000
0.4,oracle_depth_completion,28,1.00000,0.00000,0.00558,0.00011,0.00000,0.00000,0.00000,0.00000
0.4,proposed_action_critical_interactive_depth,28,0.86769,0.03587,0.04574,0.00236,0.02110,0.01023,0.10877,0.02910
0.4,uncertainty_guided_probe,28,0.81899,0.04759,0.04650,0.00174,0.03409,0.01223,0.15990,0.04108
0.4,visuotactile_probe,28,0.84497,0.03995,0.05045,0.00227,0.02679,0.01214,0.12175,0.02963
0.6,active_view_selection,28,0.93182,0.03421,0.04279,0.00354,0.01299,0.00929,0.00000,0.00000
0.6,ensemble_depth_completion,28,0.81088,0.06577,0.05418,0.00204,0.04789,0.02054,0.00000,0.00000
0.6,learned_depth_completion,28,0.53247,0.10689,0.06735,0.00326,0.14205,0.03613,0.00000,0.00000
0.6,oracle_depth_completion,28,1.00000,0.00000,0.00567,0.00010,0.00000,0.00000,0.00000,0.00000
0.6,proposed_action_critical_interactive_depth,28,0.77192,0.05670,0.04956,0.00229,0.05276,0.02162,0.12825,0.02427
0.6,uncertainty_guided_probe,28,0.71347,0.06457,0.04941,0.00163,0.05357,0.01763,0.19968,0.03891
0.6,visuotactile_probe,28,0.72484,0.06268,0.05518,0.00264,0.06250,0.01884,0.13231,0.02531
0.8,active_view_selection,28,0.88149,0.05467,0.04275,0.00340,0.03328,0.01644,0.00000,0.00000
0.8,ensemble_depth_completion,28,0.64286,0.10363,0.05693,0.00215,0.08523,0.02774,0.00000,0.00000
0.8,learned_depth_completion,28,0.33929,0.09723,0.07031,0.00281,0.19399,0.03938,0.00000,0.00000
0.8,oracle_depth_completion,28,1.00000,0.00000,0.00574,0.00007,0.00000,0.00000,0.00000,0.00000
0.8,proposed_action_critical_interactive_depth,28,0.60552,0.08845,0.05348,0.00218,0.09091,0.02622,0.15260,0.03231
0.8,uncertainty_guided_probe,28,0.58036,0.09100,0.05214,0.00199,0.10065,0.02483,0.20049,0.03616
0.8,visuotactile_probe,28,0.55601,0.10022,0.05857,0.00238,0.11526,0.03166,0.13149,0.02054
1.0,active_view_selection,28,0.78003,0.08372,0.04351,0.00336,0.04464,0.01924,0.00000,0.00000
1.0,ensemble_depth_completion,28,0.46347,0.11082,0.05934,0.00200,0.15016,0.03462,0.00000,0.00000
1.0,learned_depth_completion,28,0.15422,0.05515,0.07534,0.00265,0.26380,0.03111,0.00000,0.00000
1.0,oracle_depth_completion,28,1.00000,0.00000,0.00582,0.00007,0.00000,0.00000,0.00000,0.00000
1.0,proposed_action_critical_interactive_depth,28,0.49432,0.09586,0.05581,0.00196,0.13068,0.02598,0.13961,0.02046
1.0,uncertainty_guided_probe,28,0.41153,0.09906,0.05494,0.00170,0.14529,0.02901,0.20292,0.03729
1.0,visuotactile_probe,28,0.36851,0.09353,0.06191,0.00263,0.17127,0.03260,0.16234,0.01967
